congress,latestAction_actionDate,latestAction_actionTime,latestAction_text,number,originChamber,originChamberCode,title,type,updateDate,updateDateIncludingText,url
118,2024-05-10,12:33:43,Held at the desk.,2195,Senate,S,Diesel Emissions Reduction Act of 2023,S,2024-05-12,2024-05-12T04:05:24Z,https://api.congress.gov/v3/bill/118/s/2195?format=json
118,2024-05-10,,Referred to the House Committee on Financial Services.,8337,House,H,"To amend the Federal banking laws to improve the safety and soundness of the United States banking system, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:27Z,https://api.congress.gov/v3/bill/118/hr/8337?format=json
118,2024-05-10,,Referred to the House Committee on the Judiciary.,8354,House,H,"To provide for the implementation of a system of licensing for purchasers of certain firearms and for a record of sale system for those firearms, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:25Z,https://api.congress.gov/v3/bill/118/hr/8354?format=json
118,2024-05-10,,Referred to the House Committee on the Judiciary.,1218,House,H,Expressing the sense of the House of Representatives that Congress recognizes the unseen sacrifices and countless contributions of the Southwest Florida law enforcement community.,HRES,2024-05-12,2024-05-12T04:05:17Z,https://api.congress.gov/v3/bill/118/hres/1218?format=json
118,2024-05-10,,Referred to the House Committee on Ways and Means.,8352,House,H,"To require the imposition of additional duties with respect to imports of green energy goods that originate in the People's Republic of China, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:25Z,https://api.congress.gov/v3/bill/118/hr/8352?format=json
118,2024-05-10,,Referred to the House Committee on Education and the Workforce.,8346,House,H,To assist survivors of stroke and other debilitating health occurrences in returning to work.,HR,2024-05-12,2024-05-12T04:05:32Z,https://api.congress.gov/v3/bill/118/hr/8346?format=json
118,2024-05-10,,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8361,House,H,"To impose sanctions with respect to economic or industrial espionage by foreign adversarial companies, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:21Z,https://api.congress.gov/v3/bill/118/hr/8361?format=json
118,2024-05-10,,Referred to the House Committee on Financial Services.,8356,House,H,"To amend the Truth in Lending Act to provide for a safe harbor for small-dollar credit products, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:30Z,https://api.congress.gov/v3/bill/118/hr/8356?format=json
118,2024-05-10,,Referred to the House Committee on Energy and Commerce.,1216,House,H,Expressing support for the goals and ideals of National Stroke Awareness Month.,HRES,2024-05-12,2024-05-12T04:05:25Z,https://api.congress.gov/v3/bill/118/hres/1216?format=json
118,2024-05-10,,Referred to the House Committee on Ways and Means.,8351,House,H,"To increase duties imposed with respect to autos imported into the United States that originate in the People's Republic of China, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:14Z,https://api.congress.gov/v3/bill/118/hr/8351?format=json
118,2024-05-10,,Referred to the House Committee on Transportation and Infrastructure.,8357,House,H,"To provide that not less than 3 percent of the amounts made available for certain Federal-aid highway programs shall be expended through veteran owned small business concerns, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:15Z,https://api.congress.gov/v3/bill/118/hr/8357?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,8368,House,H,"To establish a Coordinator for Afghan Relocation Efforts in the Department of State, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:19Z,https://api.congress.gov/v3/bill/118/hr/8368?format=json
118,2024-05-10,,Referred to the House Committee on the Judiciary.,8364,House,H,"To amend chapter 44 of title 18, United States Code, to update certain procedures applicable to commerce in firearms and remove certain Federal restrictions on interstate firearms transactions.",HR,2024-05-12,2024-05-12T04:05:20Z,https://api.congress.gov/v3/bill/118/hr/8364?format=json
118,2024-05-10,,Referred to the House Committee on Oversight and Accountability.,8334,House,H,"To require any applicant for a Federal grant to submit a certification that such applicant in not in violation of section 274(a) of the Immigration and Nationality Act, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:24Z,https://api.congress.gov/v3/bill/118/hr/8334?format=json
118,2024-05-10,,Referred to the House Committee on Energy and Commerce.,1217,House,H,"Supporting the designation of May 10, 2024, as ""National Asian American, Native Hawaiian, and Pacific Islander Mental Health Day"".",HRES,2024-05-12,2024-05-12T04:05:29Z,https://api.congress.gov/v3/bill/118/hres/1217?format=json
118,2024-05-10,,Referred to the House Committee on Agriculture.,8359,House,H,"To amend the Federal Crop Insurance Act to require the Federal Crop Insurance Corporation to carry out research and development regarding a policy to insure table, wine and juice grapes against losses due to a freeze event, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:18Z,https://api.congress.gov/v3/bill/118/hr/8359?format=json
118,2024-05-10,,Referred to the House Committee on Financial Services.,8339,House,H,"To make improvements to the securities laws, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:33Z,https://api.congress.gov/v3/bill/118/hr/8339?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,8365,House,H,To amend the Sean and David Goldman International Child Abduction Prevention and Return Act of 2014 to make modifications to that Act.,HR,2024-05-12,2024-05-12T04:05:26Z,https://api.congress.gov/v3/bill/118/hr/8365?format=json
118,2024-05-10,,Referred to the House Committee on Energy and Commerce.,8360,House,H,"To amend the Federal Food, Drug, and Cosmetic Act to deem any sunscreen or cosmetic containing parabens to be adulterated.",HR,2024-05-12,2024-05-12T04:05:19Z,https://api.congress.gov/v3/bill/118/hr/8360?format=json
118,2024-05-10,,Referred to the House Committee on the Judiciary.,1220,House,H,"Impeaching Joseph Robinette Biden, Jr., President of the United States, for high crimes and misdemeanors.",HRES,2024-05-12,2024-05-12T04:05:27Z,https://api.congress.gov/v3/bill/118/hres/1220?format=json
118,2024-05-10,,Referred to the House Committee on Agriculture.,8344,House,H,To require the Secretary of Agriculture to submit to Congress a report on available assistance to agricultural producers in the State of Texas that have suffered economic losses due to the failure of Mexico to deliver water.,HR,2024-05-12,2024-05-12T04:05:26Z,https://api.congress.gov/v3/bill/118/hr/8344?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,8345,House,H,"To limit funds to the United Nations and other organizations that provide any status, rights, or privileges beyond observer status to the Palestine Liberation Organization, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:17Z,https://api.congress.gov/v3/bill/118/hr/8345?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,1219,House,H,Condemning the Biden Administration's decision to pause certain arms transfers to Israel.,HRES,2024-05-12,2024-05-12T04:05:18Z,https://api.congress.gov/v3/bill/118/hres/1219?format=json
118,2024-05-10,,Referred to the House Committee on Transportation and Infrastructure.,8349,House,H,"To establish the position of National Roadway Safety Advocate within the Department of Transportation, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:26Z,https://api.congress.gov/v3/bill/118/hr/8349?format=json
118,2024-05-10,,Referred to the House Committee on the Budget.,8342,House,H,"To amend title 31, United States Code, to include information on improper payments under Federal programs, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:16Z,https://api.congress.gov/v3/bill/118/hr/8342?format=json
118,2024-05-10,,Referred to the House Committee on Armed Services.,8336,House,H,"To amend title 10, United States Code, to establish a counseling pathway in the Transition Assistance Program for members of the reserve components of the Armed Forces.",HR,2024-05-12,2024-05-12T04:05:23Z,https://api.congress.gov/v3/bill/118/hr/8336?format=json
118,2024-05-10,,Referred to the House Committee on House Administration.,8353,House,H,"To require the Election Assistance Commission to develop voluntary guidelines for the administration of elections that address the use and risks of artificial intelligence technologies, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:28Z,https://api.congress.gov/v3/bill/118/hr/8353?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,1222,House,H,"Condemning the Communist Party of Vietnam for imprisoning independent journalists, human rights defenders, religious figures, and dissidents in Vietnam.",HRES,2024-05-12,2024-05-12T04:05:27Z,https://api.congress.gov/v3/bill/118/hres/1222?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,1221,House,H,"Marking the 35th anniversary of the Tiananmen Square massacre and condemning the ongoing and often brutal suppression of human rights and basic freedoms by the Government of the People's Republic of China and Chinese Communist Party, including in the Hong Kong Special Administrative Region, and for other purposes.",HRES,2024-05-12,2024-05-12T04:05:26Z,https://api.congress.gov/v3/bill/118/hres/1221?format=json
118,2024-05-10,,Referred to the House Committee on Education and the Workforce.,8367,House,H,To ensure labor organization transparency and accountability.,HR,2024-05-12,2024-05-12T04:05:23Z,https://api.congress.gov/v3/bill/118/hr/8367?format=json
118,2024-05-10,,Referred to the House Committee on Veterans' Affairs.,8347,House,H,"To direct the Comptroller General of the United States to conduct a study on menopause care furnished by the Department of Veterans Affairs, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:31Z,https://api.congress.gov/v3/bill/118/hr/8347?format=json
118,2024-05-10,,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8366,House,H,"To extend authorities to impose sanctions under certain laws relating to Hong Kong, Tibet, and the Xinjiang Uyghur Autonomous Region.",HR,2024-05-12,2024-05-12T04:05:18Z,https://api.congress.gov/v3/bill/118/hr/8366?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,8358,House,H,"To support Taiwan's international space, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:19Z,https://api.congress.gov/v3/bill/118/hr/8358?format=json
118,2024-05-10,,Referred to the House Committee on Financial Services.,8338,House,H,"To regulate small-dollar, short-term credit products, to protect the privacy of lenders, and to improve the unfair, deceptive, or abusive acts or practices authority of the Bureau of Consumer Financial Protection, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:18Z,https://api.congress.gov/v3/bill/118/hr/8338?format=json
118,2024-05-10,,"Referred to the Committee on Rules, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8341,House,H,"To amend the Congressional Budget Act of 1974 to provide that any estimate prepared by the Congressional Budget Office or the Joint Committee on Taxation shall include costs relating to servicing the public debt, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:31Z,https://api.congress.gov/v3/bill/118/hr/8341?format=json
118,2024-05-10,,"Referred to the Committee on Oversight and Accountability, and in addition to the Committee on Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8333,House,H,"To prohibit contracting with certain biotechnology providers, and for other purposes.",HR,2024-05-12,2024-05-12T04:05:23Z,https://api.congress.gov/v3/bill/118/hr/8333?format=json
118,2024-05-10,,Referred to the House Committee on Foreign Affairs.,1224,House,H,Condemning President Biden's threat to withhold aid and military assistance to Israel.,HRES,2024-05-12,2024-05-12T04:05:22Z,https://api.congress.gov/v3/bill/118/hres/1224?format=json
118,2024-05-10,,Message on Senate action sent to the House.,3935,House,H,Securing Growth and Robust Leadership in American Aviation Act,HR,2024-05-11,2024-05-11T06:11:17Z,https://api.congress.gov/v3/bill/118/hr/3935?format=json
118,2024-05-10,,Message on Senate action sent to the House.,83,House,H,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,HCONRES,2024-05-11,2024-05-11T06:11:16Z,https://api.congress.gov/v3/bill/118/hconres/83?format=json
118,2024-05-09,,Presented to President.,1042,House,H,Prohibiting Russian Uranium Imports Act,HR,2024-05-11,2024-05-11T04:05:15Z,https://api.congress.gov/v3/bill/118/hr/1042?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4319,Senate,S,A bill to provide for progress reports on the national transition plan related to a fluorine-free firefighting foam.,S,2024-05-10,2024-05-10T10:56:27Z,https://api.congress.gov/v3/bill/118/s/4319?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4318,Senate,S,A bill to provide for an unmanned aircraft system (UAS) integration strategy.,S,2024-05-10,2024-05-10T10:56:28Z,https://api.congress.gov/v3/bill/118/s/4318?format=json
118,2024-05-09,,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",4320,Senate,S,A bill to provide for the establishment of the Bessie Coleman Women in Aviation Advisory Committee.,S,2024-05-10,2024-05-10T10:56:28Z,https://api.congress.gov/v3/bill/118/s/4320?format=json
118,2024-05-09,,Received in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,7109,House,H,Equal Representation Act,HR,2024-05-10,2024-05-10T13:23:15Z,https://api.congress.gov/v3/bill/118/hr/7109?format=json
